身热肢寒	热深厥深身热肢寒 阴盛格阳身热肢寒
善疑	心脾两虚善疑 阴虚阳亢善疑 心胆不宁善疑 肝气郁结肛门重坠 胆热痰扰善疑 肝郁血虚善疑 气滞血褒善疑
嗳气	肝脾不和肠鸣 食积胃肠口酸 食滞吐泻 伤食积滞脐腹痛 脾虚夹湿睑弦赤烂 肝郁气滞皮肤褐斑 脾胃气虚暧气 肝气上逆咽中异物感 阳气郁阻手足厥冷 睥虚肝乘口酸 食滞胃肠嗳气 血嵌乳汁不行 脾运失健厌食 肝气犯胃暧气 气滞血疲蝶形红斑 肝郁血虚瘫痪 气滞湿阻单腹胀大 肝郁气滞视瞻昏渺 肝郁脾虚腹泻 肝热妊娠呕吐 气滞腹痛
上胞下垂	风邪入络上胞下垂 气滞血淤上胞下垂 脾气下陷上胞下垂
寒战	疮毒内陷寒战 湿热阻滞下肢生疽 风热化火丹毒 拖接初期恶寒 寒邪直中舌紫 风寒束表啮齿 阳虚寒盛寒战 外寒内热寒战 毒入血分皮肤红线 疟疾寒战 火毒乳房红肿 真热假寒恶寒 寒邪外束寒战 战汗寒战 湿热阻滞面具脸
乳房肿块	肝气郁结乳房肿块 气滞血瘀乳房肿块 痰气交阻乳房肿块
头目胀痛	肝阳上亢面色红 痰湿上逆头目胀痛 肝胆火旺善怒 阴虚火旺头目胀痛 风热壅盛胞内生肉 肝火犯胃头目胀痛 肝阳上亢头目胀痈
舌紫	气滞血疲经行浮肿 气滞血瘀沩胎 寒邪直中舌紫 血分热毒舌紫 瘀血阻滞凄废 班血阻络面具脸 气滞血班腹中痞块 血疲经行身痛 心血瘀阻小儿心悸 瘀血阻滞月经过多 气滞血嵌经期延长 血褒腹痛 气滞血疲蝶形红斑 肩凝肩不举 肝肾阴虚舌蒌 心血瘀阻胸闷 瘀血阻络腿肿痛 褒血阻滞梦游 嵌血内阻舌紫 血瘀产后发热 心血瘀阻面色靑 气滞血班难产 酒毒内茧舌紫 挤血阻滞不射精 气滞血瘀胎死不下 瘀血内阻面色黧黑
眼皮跳	血虚生风眼皮跳 脾胃气虚眼皮跳 风热外侵眼皮眺
鼻塞	风寒束表咳嗽 风寒侵犯小儿音哑 风寒表实无汗 外感风热白睛红赤 外感风寒发热 脾经湿热失嗅 肺经郁热鼻塞 风热犯肺鼻痒 风寒束表恶寒 风热鼻塞 风湿犯头头重 风邪外袭口眼呙斜 气滞血瘀鼻塞 外感风寒经行发热 风邪袭络顔面抽描 邪留肺卫低热 风热犯肺咽肿 风寒鼻塞 肺气虚寒喷嚏 风寒束表面色白 风热袭肺咽干 风寒羞明 风邪犯肺咳痰 肺脾气虚鼻塞 外感风热水痘 湿热鼻流涕 表寒里热无汗 风寒目痒 胆腑郁热失嗅 风寒腹泻 风热上扰耳内流脓 肾阳虚喷嚏 风热袭肺耳聋 风热犯肺喷嚏 肝胆湿热鼻塞 肺脾两虚失嗅 肺肾阴虚鼻塞 风热侵犯小儿音哑 风热犯肺耳胀闷 风寒妊娠咳嗽 风寒咽痛 风寒袭肺耳胀闷 肺气虚鼻痒 脾气虚弱喷嚏 风寒束表身痛 血淤阻肺失嗅 痰火阻肺鼻痠 麻毒时邪由里出表〔初热期〉 风热壅肺鼻痠 外感风温发热 风寒喉痒 风寒袭肺喷嚏 风寒袭表恶寒发热 外感风寒经行身痛 风热袭肺咳瞅 风寒湿邪壅滞鼻痛 湿热郁蒸鼻肿 肺经风热失嗅 肝胆湿热鼻臭 肺气失宣鼾眠 风寒妊娠音哑
善喜	心火炽盛善喜 疲火扰心善喜 气虚血疲善喜 水火不济善喜 肝郁火旺善喜
产后浮肿	气血两虚产后浮肿 脾阳虚产后浮肿 气滞血褒产后浮肿 肾阳虚产后浮肿 湿热下注产后浮肿
