身热肢寒	热深厥深身热肢寒 阴盛格阳身热肢寒
大便溏	痰湿经行头痛 湿热瑰结腹满 脾虚气陷疳翳 肝肾虚腰膝无力 脾胃阳虚慢惊 气血两虚舌光 脾气亏耗头倾 脾肾阳虚经行泄泻 或食脾胃损伤疳积 脾虚寒湿舌肿 气滞湿阻腹露青筋 脾肾阳虚肥胖 寒湿发黄 脾肾阳虚呵欠 疳积脾虚手足心热 脾不统血发癍 中气下陷大便溏 脾肾阳虚脐腹痛 脾胃阳虚腹冷 阳虚寒凝手足紫绀 脾胃气虚消瘦 睥虚湿泛妊振肿胀 脾肾阳虚紫斑 气阴两虚羞明 脾气虚弱经行泄泻 脾气虚脱形 胃寒干呕 脾气虚少气 脾肾阴虚箱口 肺脾肾虚肛周疮毒 寒滞扬道面色青 寒湿内生直肠息肉 睥虚肝乘口酸 水饮内停大便溏 阴寒内盛小便清长 脾虚痰湿妊娠眩晕 脾不统血经行吐衄 脾肾阳虚呃逆 脾肾阳虚胎水肿满 疲油中阻肥胖 脾虚肝亢小儿抽动 食滞脾胃低热 脾虚湿蕴鼾眠 脾胃气虚大便溏 虫积消瘦 饮气痞 肾阳衰微大便溏 脾胃不调鑕虫扰动症 脾肺气虚咳血 气虚舌边齿痕 脾肾阳虚经行浮肿 脾虚气陷尿浊 脾虚湿因疲乏 脾胃虚寒异嗜
头昏	气血瘀阻耳痛 阴虚火旺蟹睛 肾阴虚证口咸 痰火扰心善愤 脾气虚食后困顿 肾阳虚脱肛 毒邪流窜杨梅疮 血虚神闭痫 肝肾阴虚善怒 阴虚内热蝶形红斑 肺脾两虚失嗅 贤虚供亏痫 脾虚湿困耳内流脓 阴虚火旺红斑 气虚血瘀头昏 脾气虚弱喷嚏 肾精亏虚头昏 虚火上炎口颊溃烂 痰火耳聋 心胆不宁善疑 肾虚失藏小便抉精 血淤阻肺失嗅 肾虚不摄流涎 风火燥结肛门生痔 肾阴虚皮肤黑斑 肺脾气虚鼻塞 气血两虚牙龈蒌缩 痰瘀互结痫 湿热壅滞阴道异常出血 湿疲阻络半身麻木 瘀血阻窍嘈睡 阴血亏虚目视无神 肺脾气虚鼻疫 肾虚水泛多唾 风湿夹热瞳神缩小 肝肾阴虚头昏
白睛鱼胞	肺火上炎鱼胞 阴虚内热鱼胞 肺经风热鱼胞 气虚下陷鱼胞
腹冷	冲任虚寒经行腹痛 虚寒妊振腹痛 寒湿阻络产后腰痛 肾阳虚衰妇人腹痛 肾阳虚衰女阴白斑 肾阳虚衰阴冷 寒凝积冷挤腹痛 肾阳虚不孕 寒凝产后腹痛 脾肾阳虚经行泄泻 寒湿凝滞经行政痈 寒湿凝滞妇人腹痛 寒湿凝滞伪胎 冲任虚寒腹冷 寒滞肝脉腹冷 肾阳虚腹冷 脾阳虚畏寒 中焦寒湿肠鸣 脾胃阳虚腹冷 脾肾阳虚脐腹痛 寒凝恶露不下 风寒妊振腹痛 月经过少 湿阻气滞胎死不下 肝郁肾虚经前乳胀 外感风寒经行身痛 寒凝胞衣不下 胃寒干呕 肾虚寒褰小腹痛
小儿痞块	脾胃阴虚痞块 脾胃气虚痞块 疟各痞块
皮肤褐斑	阴虚火旺皮肤褐斑 湿热内苔皮肤褐斑 肝郁气滞皮肤褐斑
低热	湿热蘊结低热 气血虚衰肛门流脓 肺肾阴虚咽喉白腐 气虛低热 气虚低热 气郁低热 虚热结聚胚周痈肿 心虚禀弱啼哭 肝肾阴虚臁疮 睥气虚夹热舌疮 阴虚火旺咳血 虚火上炎乳蛾 血热恶露不断 阴虚内热蝶形红斑 邪伏阴分五心烦热 肝肾阴虚朱砂掌 湿热五色带 营卫不和多汗 肺胃明伤余热丹痧 虚火上炎重舌 湿郁低热 肝郁化火经行发热 邪留肺卫低热 血瘀产后发热 心阴亏虚小儿心悸 疳积喜食异物 血瘀低热 湿热菹结经行睃痛 阳虚低热 疳积低热 肝肾阴虚低热 肺胃阴虚低热 嵌血发黄 气血不足脐疮 肝肾阴虚慢惊 湿热瘀结妇人腹痛 阴虚血热紫癜 肝肾阴虚瘫痪 血瘀湿热不孕 心阴虚心悸 阴虚火旺经行发热 胞宫瘀血经行发热 惊恐惊风
肌肤疼痛	脾肾阳虚肌肤疼痛 心脾两虚肌肤疼痛 毒热炽盛肌肤疼痛
红疹	风热挟湿红疹 血虚不荣红疹 湿热壅盛痱子 热入营血红疹 风寒束表红疹
腰膝无力	肾虚腰痠 肝肾亏损云雾移睛 肝肾虚腰膝无力 肾气不固尿频 寒湿腰膝无力 脾肾阳虚呃逆 湿热腰膝无力
恶寒发热	外感咳血 风寒表实无汗 外感风热白睛红赤 湿热熏蒸头汗 外感风寒发热 外感寒湿舌苔白腻 湿著肌表身痛 暑湿流注鼠蹊肿痛 外感风寒舌肿 暑湿袭表恶寒发热 寒湿袭表舌苔白 热毒壅盛鼠蹊肿痛 湿热下注臁疮 风湿犯表颈项痛 火毒炽盛皮肤红线 风寒妊振腹痛 肺燥喉痒 肝郁血热腋窝红肿 火毒凝结肩背痈肿 风热相搏眼睑丹毒 脏嘛火毒指头疔肿 外感风热漏睛 风寒腹泻 寒邪束表面色青 外邪客宵呕吐 风寒欲解鼻衄 余毒上攻口颊攒烂 火毒凝滞腋窝红肿 湿热蕴蒸颈后生痈 风寒束表项强 风寒闭肺气喘 风热犯肺恶寒发热 寒热错杂哮鸣 风湿犯表项强 风寒妊娠咳嗽 火毒盖结臀部痈肿 风寒袭肺耳胀闷 风寒束表身痛 金疮风毒项强 风湿客表恶寒发热 表寒郁热烦躁 走马牙疳 阳明经壮热 风寒外侵无名肿毒 肺脾积热胞睑肿胀 毒热蕴滞丹毒 寒湿阻滞腹筋挛急 风寒袭表恶寒发热 外感风寒经行身痛 风寒袭肺白睛溢血 金创风毒角弓反张 风寒妊娠音哑
面色白	寒湿阻滞膝肿痛 真热假寒面色白 肺脾气虚鼻干 虚阳浮越面色红 风寒束表面色白 气虚低热 外感风寒发热 阳虚面色白 寒滞肠道面色白 阳脱面色白 脾气下陷脱肛 血虚面色白
经行泄泻	脾肾阳虚经行泄泻 脾气虚弱经行泄泻
小儿鸡胸龟背	邪客脊骨龟背 肺积痰热鸡胸 胎禀怯弱鸡胸龟背
口苦	肝胆火炽曈神缩小 脾胃实热黄液上冲 肝胆火旺善怒 肝阴虚阳亢头晕 脾胃积热流涎 肝郁化火经间期出血 毒热炽盛肌肤疼痛 肝郁化火口酸 痰火扰心心悸 肝火上炎白睛溢血 痰火扰心梦游 火郁五心烦热 肝经湿热腰如翔束 湿热妊娠尿痛 肝火上逆耳衄 湿热赤白带 肝经湿热性早熟 湿热结单腹胀大 胃热干呕 痰热郁结脏躁 心胆气虚多梦 肝胆湿热丹毒 下焦湿热小便不通 肝郁化火闭经溢乳 肝阳上亢经行头痛 肝胆实火蟹睛 热入血室经来骤止 肝经湿热阴茎溃烂 膀胱湿热尿血 胃热痰浊上逆舌腐 肝胃不和嘈杂 肝气郁滞胸闷 肝郁气滞经行情志异常 肝经郁热不寐 湿热下注阴痒 肝胆湿热耳胀闷 酒毒内茧舌紫 心肝火旺经前不寐 肝郁化火妊娠消渴 湿热鼻流涕 肠胃湿热肠鸣 气滞湿阻小便不利 肝胆湿热尿血 热入血室妄听妄视 肝经实热目畏热 胆腑郁热失嗅 肝郁气滞视瞻昏渺 湿热蕴积黄汗 肝热妊娠呕吐 肝阳上扰头晕 邪阻半表半里盗汗 虚热赤白带 胃热阴伤消渴 邪入少阳寒热往来 痰火扰心善愤 肝火耳聋 肝胃不和恶心 宵肠积热经行便血 肝郁气滞目珠自胀 肝胆热毒耳痛 肝胆湿热鼻塞 肝胆湿热腋汗 肝郁气滞经行腹痛 心火上炎口苦 邪郁少阳恶寒 湿热下注尿白 湿热蕴蒸云雾移睛 痰热蕴肺口臭 痰阻舌麻 肝胆湿热妊娠疫痒 肝火犯胃宵痛 实热妊娠尿痛 膀胱湿热小便黄赤 肝气郁结梦游 肺热咳嗽 下焦湿热尿痛 肝火上逆暴盲 心火亢盛不寐 湿热雄结便难 肝胆湿热小便黄赤 邪入少阳胁痛 湿热龜结研腹痛 肝郁血虚 脾肺积热赤膜下垂 肝郁血虚瘫痪 肝气郁滞脑鸣 肝火上炎舌衄 脾虚湿因疲乏 肝火犯肺鼻衄 肝阳上亢面色红 肝胆湿热胁痛 肝胆湿热尿频 湿毒下注经断复行 肝胆火热血灌瞳神 肝郁气滞目昏 燥火内结肛裂 火盛目痒 肝热产后乳汁自漏 肝胆湿热耳内流脓 肝胆湿热舌苔黄腻 肝郁化火经行发热 湿热遂阻肛门流脓 肝胆郁热口苦 邪入少阳口苦 肝经火盛胬肉 肝肾阴虚经断前后诸症 脏腑实热舌痛 风火熏迫大扬便血 外伤邪毒阴疮 肝火上炎头胀 肝气郁结小便不通 痰火扰心小儿多动 肝胆郁热咽干 疲热扰心不寐 疲火扰心善喜 湿热内蕴舌苔灰黑 肝郁化火经行吐衄 肝郁善太息 心经积热舌肿 湿热内蔥小便挟精 湿热便血 下焦血瘀尿痛 肝胆湿热阴疮 膀胱蓄热小便失禁 痰火扰神心下悸 湿热内阻小便不利 肝经湿热女阴白斑 肝胆火盛抱轮红 湿热下注胚门重坠 肝郁化火面痛 肝火偏亢月经过多 火盛白内障 肝火充盛消瘦 肝火上炎头热 肝经湿热阴痛 肝风内动目偏视 肝火犯胃吐血 胆热痰扰善疑 表寒郁热烦躁 肝气犯胃吞酸 风热郁结肛门瘙痒 湿热蒙蔽神昏 痰火扰神痫 郁火上冲睑弦赤烂 风阳上扰头摇 湿热壅滞带状疱疹 燥热鼻流涕 靑腿牙疳 肝胃不和呕吐 肝胆火盛白睛红赤
不寐	热入营血面色红 肝郁血虚四肢抽擄 阴虚肺燥咳痰 心脾两虚经前不寐 血虚阴亏手足心热 阴血亏虚多汗 肝肾阴虚手舞足蹈 热炽营血壮热 心火上炎口苦 胆虚气怯不寐 心脾两虚不寐 心血虚心悸 心火炽盛尿痛 热入营血但热不寒 疾火内扰烦躁 心阴亏虚不寐 热入营血发癍 阴虚火旺烦躁 肝郁血虚手舞足蹈 阴虚血热带环后阴道异常出血 肾阴亏损尿血 脏腑实热舌痛 肝经郁热不寐 余热扰服不寐 心肝火旺经前不寐 心肾不交不寐 心火亢盛不寐 疲热扰心不寐 气血不足转筋 肾阴亏虚尿频 心血不足烦躁 血热风盛角弓反张 热入营血烦躁
牙齿焦黑	胃火燔齿牙齿焦黑 风冷客经牙齿焦黑 下焦热盛牙齿焦黑
流产后闭经	瘀血凝滞流产后闭经 气血两虚流产后闭经 肝气郁结流产后闭经
多唾	水饮凌心小儿心悸 脾胄虚寒多唾 肾虚水泛多唾
舌边齿痕	阳虚舌边齿痕 气虚舌边齿痕
尿后余沥	中气不足尿后余沥 膀耽湿热尿后余沥 脾肾阳虚便难 脾肾阳虚夜盲 肾虚不摄流涎 肾虚胞寒尿后余沥
手足紫绀	气郁阻络手足紫绀 阳虚寒凝手足紫绀 气虚血挤手足紫绀
小儿心悸	心阳亏虚小儿心样 水饮凌心小儿心悸 气阴两虚小儿心悸 心气亏虚小儿心悸 心阴亏虚小儿心悸 心血瘀阻小儿心悸 心胆虚怯小儿心择 热毒侵及小儿心样 心血亏虚小儿心悸
痱子	暑湿内苔痱子 湿热壅盛痱子
视物变形	湿热上犯视瞻昏渺 脾气虚弱视物变形 肝肾阴虚视物变形 精血亏损视瞻昏渺 肝气郁结视物变形 心脾两虚视物变形 气滞血淤视物变形
脐出血	脐结松脱脐出血 胎寒不足脐出血
经行目痛	肝热受风经行目痛 肝虚血亏经行目痛 血凝翳留经行目痛 血虚受风经行目痛
股阴痛	寒湿浸淫股阴痛 气虚血褒股阴痛 肾阳虚衰股阴痈 湿热浸淫股阴痛
女阴白斑	脾湿下注女阴白斑 肝经湿热女阴白斑 肝肾阴虚女阴白斑 肾阳虚衰女阴白斑 血虚肝旺女阴白斑
脐湿	热毒壅结脐湿 湿热浸淫脐湿
弄舌	脾肾虚热弄舌 痫证弄舌 心脾实热弄舌
交接出血	脾气虚弱交接出血 冲任湿热交接出血 肝肾阴虚交接出血
口唇焦裂	阴虚火旺口唇焦裂 脾胃热盛口唇焦裂
腹痛	寒邪直中舌紫 津伤血虚里急后重 诸虫积滞异嗜 寒滞肠道面色白 血虚胎动不安 蝈虫内扰脐腹痛 实热腹痛 寒凝腹痛 寒凝积冷挤腹痛 气逆气从少腹上冲 气血两虚经行旗痛 血疲经行身痛 肝气郁结少腹痛 胃肠湿热蛔虫扰动症 湿热风毒紫癜 睥肾气虚骨痛 乳食不节积滞 脾肾拓虚毛发脱落 血瘀产后腰痛 伤食积滞啼哭 血虚口唇淡白 虚寒腹泻 食滞吐泻 阴虚内热大便脓血 气滞胎动不安 腑肾阳虚食欲不振 时疫霍乱吐泻 食积腹痛 脾肾阳虚脐腹痛 阳气郁阻手足厥冷 肠胃气滞脐腹痛 蝈虫啮齿 风寒腹泻 膀胱阻滞小腹痛 寒湿大便脓血 虚寒腹痛 气虚妊娠腹痛 寒邪直中口噤 寒滞扬道面色青 胎毒发寒 阳明热结挤腹痛 大肠湿热舌苔黄腻 血热恶露不断 肝郁气滞经行腹痛 肝气郁结流产后闭经 血褒腹痛 伤食腹泻 脾虚肝乘善怒 肝脾不和肠鸣 血疲恶露不下 伤食积滞脐腹痛 实热便血 血疲产后身痛 感受疫毒大便脓血 虚寒便血 食滞宵肠啮齿 气虚胎动不安 过食生冷积滞 脾肾阳虚肠鸣 寒湿困脾畏寒 时发时止大便脓血 脾胃不调鑕虫扰动症 湿热龜结研腹痛
阴挺	气虚阴挺 湿热阴挺 肾气虚阴挺 气血两虚阴挺
咳痰	外感咳血 瘀阻肺络咳血 肺热咳痰 湿热蘊肺咳痰 肾阳虚衰小便不利 肺肾阴虚小儿音哑 阴虚肺燥咳痰 风邪犯肺咳痰 肺寒咳痰 肺阴虚消瘦 外感风温发热 风寒喉痒 肺热壅盛咳血 痰浊阻滞胸痛 湿邪犯肺咳痰
肛裂	燥火内结肛裂 湿热蘊结肛裂 血虚肠煉肛裂
小便频数	气虚阴挺 阴虚津亏产后小便淋痛 心火亢盛产后小便淋痛 膀耽湿热尿后余沥 实热妊娠尿痛 肾气虚胫痠 肺脾气虚尿频 肾气虚阴挺 睐胱湿热尿频 肾阴亏虚消渴 肾气不固尿频 肾阳虚衰妇人腹痛 肾虚胞寒尿后余沥 阴虚五色带 血虚阴亏手足心热 气虚产后小便頻数与失禁 膀胱湿热尿频 肾阴亏虚尿频 虚热妊娠尿痛 肝肾不足小儿靑盲 肾气虚胎漏 肾气虚月经过少 肾阳虚妊娠小便不通
外阴肿痛	外伤阴肿 湿重于热阴肿 热重于湿阴肿
老花眼	气血两虚老花眼 肝肾两虚老花眼
牙齿浮动	胃火燔齿牙齿浮动 气虚牙齿浮动 阴虚齿燥牙齿浮动 气虚齿动牙痛
咳嗽	风寒束表咳嗽 肺气虚少气 肺阴虚喉痒 肺胃热盛咽喉白腐 风寒侵犯小儿音哑 疫毒侵袭肺胃丹痧 风热犯肺气喘 外感风寒发热 肺经风热鱼胞 风水相搏浮肿 扭伤颈項痛 风热犯肺浮肿 风热犯肺鼻痒 肺寒咳痰 阴虚血燥闭经 痰浊阻滞胸痛 脾虚痰湿妊娠咳嗽 外感风热水痘 表寒里热无汗 肺胃阴虚低热 风热妊娠发疹 肺胃热盛咽肿 肝火犯肺咳嗽 外感惊风 痰湿咳嗽 湿邪犯肺咳痰 风温袭肺鼻煽 一、湿热初侵，邪犯肺胃 风热犯肺白睛溢血 脾虚咳嗽 肾阳虚咳嗽 风热犯肺耳胀闷 寒邪客肺畏寒 邪热壅肺但热不寒 凉燥袭肺恶寒 痰饮壅盛憋气 肺经燥热鼻痒 风热犯肺恶寒发热 痰热蕴肺口臭 风寒咽痛 肝肾阴虚瘰疬 燥热妊娠咳嗽 痰火耳聋 湿热咽痛 血淤阻肺失嗅 肺热咳痰 痰饮中阻舌答灰黑 肺火背热 肺热咳嗽 肺燥咳嗽 暑湿咳嗽 外感风温发热 风水相搏身重 风寒袭表恶寒发热 疼毒外达肺部苔热《见形期〉 风热袭肺咳瞅 脾肺气虚咳血 风寒袭肺白睛溢血 肺经风热失嗅 痰饮内伏背冷 风热壅肺鼻痛 风寒表实无汗 肺热津伤瘘废 肺气虚咳嗽 脾经湿热失嗅 痰热阻肺顿咳 风寒痰阻顿咳 肺气壅滞小便不通 热毒侵及小儿心样 肺阴虚妊娠音哑 风寒声音嘶哑 风热犯肺咽肿 痰浊阻肺气喘 肺经蕴热胬肉 肺胃蕴热小儿音哑 肺经热盛鼻干 眙禀亏虚小儿脐突 肺燥阴虚鼻干 风邪犯肺咳痰 肺气失宣小便不利 肺脾气虚鼻塞 风热鼻流涕 风寒束肺胸闷 卫分邪热风疹 肺脾肾虚肛周疮毒 风寒鼻流涕 风热犯肺喷嚏 肺阴虚咳嗽 血虚阴亏手足心热 风寒闭肺气喘 风热妊娠咳嗽 风热声音嘶哑 风寒妊娠咳嗽 肺热炽盛壮热 痰热闭肺舌苔黄腻 风寒束表身痛 痰火阻肺鼻痠 麻毒时邪由里出表〔初热期〉 热壅血瘀胸闷 风寒喉痒 燥邪伤肺咳嗽 肺气失宣鼾眠
皮肤结节	痰湿流注结节 气血瘀滞结节 寒湿阻络结节 疫气浸淫结节 痰火郁结结节
经前不寐	阴虚火旺经前不寐 心脾两虚经前不寐 心肝火旺经前不寐
善悲	阴虚阳亢善疑 肝郁气滞呵欠 心脾两虚发癫 脏躁善悲 心肺气虚善悲
慢惊	肝肾阴虚慢惊 脾胃阳虚慢惊 脾肾阳虚慢惊
针眼	脾气虚弱针眼 热毒炽盛针眼 外感风热针眼 气阴两虚针眼
咽喉痛	湿热咽痛 风热咽痛 郁火咽痛 气阴两虚咽痛 风寒咽痛 阴虚咽痛
小便黄赤	肝经湿热阴冷 痰火扰心妄听妄视 湿热下注阴部水疱 湿热蒙蔽谵语 风水相搏浮肿 气阴两虚胸痛 热重于湿阴肿 酒积湿热反胃 热炽气分口渴 热毒蕴结足热 湿热中阻口腻 胃火炽盛妊娠消渴 热深厥深身热肢寒 肝肾阴虚朱砂掌 胃肠湿热蛔虫扰动症 毒热粉刺 血热扮刺 热痞 下焦湿热尿浊 署湿吐泻 血热风燥红斑 拖接初期恶寒 膀胱湿热小便黄赤 阳明捬实烦躁 肺胃热盛乳娥 寒湿郁滞小便黄赤 湿热阻络红斑 食滞宵肠啮齿 心火炽盛小便黄赤 湿热下注产后浮肿 肝胆湿热小便黄赤 湿热瘀结妇人腹痛 胃肠实热小便黄赤 阴虚内热小便黄赤 肝郁化火经行吐衄 肝火上炎舌衄 气分邪热风疼 湿热内蕴指（趾）缝湿烂
咽肿	热毒壅闭咽肿 风热犯肺咽肿 肺胃热盛咽肿 肺肾阴虚咽肿
头晕	阴虚火旺暴盲 肝阴虚阳亢头晕 热灼肾阴舌苔灰黑 阴虚火旺皮肤褐斑 痰火扰心心悸 血虚胎动不安 阴虚阳亢妊娠眩晕 肾亏血虚产后腰痛 阴虚火旺心中懊侬 脾虚湿盛臁疮 阴精不足远视 肾阴虚喷嚏 阴虚火旺赤脉传睛 气血两虚面具脸 肝肾阴虚耳胀闷 血虚阴亏便秘 肝胆湿热耳胀闷 肝肾亏虚关节疼痛 气血两虚夜盲 肾阴亏损云翳 气虚下陷阴痛 肝阳上扰头晕 心血亏虚小儿心悸 虚热赤白带 血虚产后胁痛 气血两虚胎死不下 气虚产后发热 肝肾阴虚 血虚产后发热 肝肾阴虚阴痛 肝肾阴虚足痛 气血两虚妊娠眩晕 肾精亏虚头晕 肾阴虚牙龈蒌縮 痰阻舌麻 肾气虚胎漏 气血两虚远视 肾阳虚妊娠小便不通 疲油中阻肥胖 肾阴虚损鼻衄 心肾不交健忘 肝肾不足转筋 肝肾阴亏崩中 血虚风燥妊娠瘙痒 肝肾虚损膝肿痛 阳虚低热 肝肾阴虚便血 痰滞妊娠呕吐 痰湿内阻头晕 肾阴亏虚尿痛 气血两虚四肤瘦削 心肾阴虚心胸汗出 气血亏虚汗出偏沮 风热挟痰阻络面痛 肾气亏虚胎萎不长 气血两虚妊娠头痛 肝肾阴虚四肢瘦削 气滞血疲蝶形红斑 阴虚风动神昏 肝肾阴虚视物变形 血虚口唇淡白 睥虚夹湿经行眩晕 肝肾阴虚阴疮 肝肾阴虚小便失禁 肾阴亏损尿血 血虚失荣妇人腹痛 阴虚肝旺妊娠痉厥 血虚产后身痛 气血虚弱消瘦 肝肾阴虚面具脸 肝气上逆咽中异物感 肝肾亏拫须发早白 肾阴虚咽干 肝郁化火经行吐衄 血虚经行眩晕 肝阳化风四肢麻木 气血两虚膝肿痛 肝郁阴虚经前乳胀 阴虚内热红丝赤缕 肝肾阴虚瞳神缩小 肾气亏虚闭经 肝阳上亢头目胀痈 肾阴虚火旺牙龈肿痛 气血两虚指甲变异 阴虚火旺耳衄 肝肾亏虚痴呆 阴虚火旺头目胀痛 肝经风热流泪 血虚不荣红疹 肝经湿热阴痛 血虚妊娠发疹 气虚产后血崩 气虚阴吹 胆热痰扰善疑 肾阴亏虚尿浊 肝肾阴虚毛发脱落 湿热蕴蒸头重 肝肾阴虚经行腹痛 气血两虚滑胎 气血两虚流产后闭经 气血两虚脐漏 气血不足转筋 肾阴亏损星翳 肾阴虚妊娠音哑 肝胆湿热鼻臭 阴虚火旺发癍 肝风舌麻 心气亏虚小儿心悸 肝肾阴虚夜盲 痰湿阻滞妊娠头痛 肝血不足夜盲 心脾虚弱经行先后无定期 肾阳虚衰妇人腹痛 气滞血疲呵欠 阴虚火旺流泪 肝阳化风四肢强直 心肾不交多梦 心胆气虚多梦 水火不济善喜 血虚月经过少 阴虚血亏便难 肝经湿热阴茎溃烂 气血两虚脱形 脾虚血亏发黄 肝肾阴虚血灌瞳神 肾虚不摄流涎 肝肾亏虚关节变形 气血两虚臂痛 肾精亏虚面色黧黑 气阴两虚瞳神散大 肝火上炎面色红 肝肾亏虚四肢强直 阴虚内热小便黄赤 阴虚肺燥经行吐衄 肝肾阴虚瘫痪 气不摄血汗血 风痰经行抽搐 阴血亏虚口噤 阴虚阳充脏燥 肝郁血虚经行抽搐 脾气虚头晕 肾阳虚白带 血虚妊娠腹痛 气血两虚舌淡白 气血两虚经行发热 肝肾两虚老花眼 阴虚产后多汗 血虚皮肤瘙痒 肝阳上亢妊娠头痛 肝肾阴虚腹露青筋 血虚经行头痛 阴虚血热带环后阴道异常出血 肾元亏损耳内流旅 血虚燥热舌搭 肾阴虚崩漏 肺肾气虚妊娠咳嗽 血虚风煉脱屑 肝火上逆暴盲 肝肾阴虚低热 气血两虚妄听妄视 肝血亏虚顔面抽搐 阴虚血热不孕 气血两虚动风角弓反张 肝肾阴虚头昏 气滞耻嵌耳聋 肝火上炎舌衄 心阴虚心悸 外感咳血 血不荣润腹筋挛急 血虚头皮麻木 气血两虚舌光 血虚面色白 肝郁气滞目昏 气血虚弱乳房胀痛 气血两虚经行旗痛 胆虚气怯不寐 肝肾阴虚朱砂掌 阴虚火炎舌衄 肾虚腰脊痛 肝肾阴虚步态不稳 肝血亏虚四肢拘急 气血两虚老花眼 脾肾两虚夜间多尿 肝胆郁热口苦 心肾不交脏躁 肝肾阴虚经断前后诸症 阴虚火旺远视 心肾不交不寐 虚热便血 肝肾阴虚阴部水疱 气血两虚胎萎不长 气血两虚产后浮肿 痰瘀互结痫 心肝阴虚颈粗 阴虚齿燥牙齿浮动 肝虚血亏经行目痛 气阴两虚羞明 气血两亏失嗅 肝肾亏虚足跟痛 气虚齿动牙痛 血虚产后腹痛 阴虚肝旺晕厥 阴虚火旺妊娠尿血 肝风内动半身麻木 阴虚火旺视瞻昏渺 心脾气血两虚头晕 气血两虚不孕 肝郁湿热赤白带 肝肾阴虚瞳神干缺 肾气不固尿频 血虚风动足颤 脾不统血鼻紐 气血虚弱漏下 肝胆火盛抱轮红 髓亏脑鸣 肝风内动手颤 湿热五色带 肾阴虚耳聋 肝火偏亢月经过多 气血两虚浮肿 肝肾亏损云雾移睛 阴血亏虚目干涩 肝火充盛消瘦 肝肾阴虚女阴白斑 肾气虚阴挺 痰气痞 阴虚白内障 肝肾阴虚目昏 阴血亏虚头痛 风痰上扰目昏
小儿痿证	三、邪去正虚，肝肾亏损 二、湿热阻络，气虚血瘀 一、湿热初侵，邪犯肺胃
小儿消渴	肺热津伤消渴 胃热阴伤消渴 阴虚阳浮消渴 暑伤肺胃消渴 肾阴亏虚消渴
白睛红赤	酒毒内蕴白睛红赤 火毒攻目目赤烂 风热羞明 肝热受风经行目痛 外感风热白睛红赤 天行时邪白睹红赤 肝肾阴虚血灌瞳神 脾伤疳积目札 肺脾积热目赤烂 邪热伏络白睛红赤 肝胆火盛抱轮红 肝肺风热赤膜下垂 虫积疳翳 肝肾阴虚白睛红赤 湿热蕴蒸云雾移睛 早期眼胞疲痛 肝胆火盛白睛红赤
鼾眠	痰热闭肺鼾眠 脾虚湿蕴鼾眠 肺气失宣鼾眠 瘀血阻滞鼾眠
喷嚏	肾阳虚喷嚏 卫分邪热风疹 风寒表实无汗 肺气虚寒喷嚏 风寒鼻塞 麻毒时邪由里出表〔初热期〉 风寒鼻流涕 风热犯肺喷嚏 外感风热水痘 扭伤颈項痛 风热犯肺鼻痒 风寒袭肺喷嚏 风寒喉痒 风寒咽痛 肾阴虚喷嚏 肺气虚鼻痒 脾气虚弱喷嚏
手颤	血虚风袭手颤 风痰入络手颤 风寒袭络手颤 阴虚风内动手颤 肝风内动手颤 脾虚动风手颤
手足厥冷	虫扰胆府手足厥冷 寒邪直中口噤 热极肢厥手足厥冷 阴盛格阳身热肢寒 胃热吐蚘 阳虚肾寒手足厥冷 阳气郁阻手足厥冷 寒凝积冷挤腹痛 阳气虚衰四肢强直 热深厥深身热肢寒 寒霍乱转筋 血寒凝滞手足厥冷 痰浊内阻手足厥冷 阳虚筋惕肉哺
皮肤甲错	湿热阻络甲错 血虚风燥甲错 血热风燥甲错 津液亏虚甲错 疲血阻滞舌青
赤膜下垂	肝肺风热赤膜下垂 脾经风热目生椒粟 脾肺积热赤膜下垂 肝胆火热赤膜下垂
难产	气滞血班难产 瘀阻脑络痴呆 气血两虚难产
经行弦晕	睥虚夹湿经行眩晕 阴虚阳亢经行弦晕 血虚经行眩晕
